figurative_type,uuid,phrase,category
idiom,46208986502174221564843227288113306647561851303011088568258902805811470335181,out of pocket,Figurative
metaphor,101453833133884692060904878279599378811773298410494166198393249820772130990712,she was a sly cat,Figurative
idiom,73387590546924057141629818164967108103775461264311407079510265007688622127493,keep on trucking,None
idiom,71293787807646573130062460361269564130902224405374494839141656689404428176154,white hat,None
idiom,91237656632587030261790155703986915510952255190168471677978055267604881756731,pound the pavement,Figurative
idiom,111464518929399707037088765947646222362008672959862789821395554897443427071871,part company,None
idiom,25063525223852225092698398491934941950986850756868873402102606931346723040235,smoke like a chimney,Figurative+Literal
idiom,90052339730536168590483584555183764341492766124357293280006125169087593032227,break even,None
idiom,367543569043754647444192575149870937032232297799610580621665292577778970772,be my guest,None
idiom,77978782545743954187224784077248553392034440367006082199352464945299697065559,long in the tooth,Figurative
idiom,29989018139275201478096677916319625898452780346689411468513063372417172606964,add fuel to the fire,None
idiom,89793009754548320991255836542478013438602371743855341478846325155664840396403,snap someone's head off,Literal
idiom,89401684378515243540370189209242555575756922520150938259664329470363562936853,spit feathers,None
idiom,22291397554848776376794886393328757204487299551042986633032202496600736460898,steal someone's thunder,None
idiom,76093140351844628714807849708314620260267317041985326798661830052199181967187,greasy spoon,Figurative
idiom,8723790696443052526978502694118946688905614188385181898777244221558498757899,fair and square,None
simile,81821002671125017770647155120727303631026341494892954328514706206592189883042,as proud as a peacock,Partial Literal
idiom,20758462599940359440831872255379746819456686305362825740864815464084017967930,see the light,None
idiom,36557478177321467926257214786438788075246089499769220052384794462228633962326,full tilt,None
simile,49701500514750904257932983569015389462936892299676965736537292377853265847796,as red as a cherry,Figurative
idiom,2688045914015916099075425556110400217759556510330986853619706146650775780113,all the rage,Figurative
idiom,69418689959021894136902670702910129757086924355513342264147606541358888106867,dish the dirt,None
idiom,112467771178803618731098008346181260276551796275539294993876844495565401158442,eternal triangle,None
idiom,71090218261472609805297165559242397173442927064166598108780270122977769713958,throw your hat in the ring,Figurative
idiom,29512975840064750716770758760131835616052693370335434311721163103119709114367,hit home,None
simile,105890508076872682396730752398436389455001629491561375159373120554186776222820,as sharp as a knife,Figurative
simile,49101318975913237216462383885791837621338346236394677197990772514571373515167,as fresh as a daisy,Figurative
idiom,114113015614279766147424585321046640168175462575249639765356270672134533725662,true to form,None
simile,106805416389719718279360820631796744409049417988113144653922621827217243308371,as pale as a ghost,Partial Literal
idiom,112701858309310069721878761750315633488868245391239989697955050202181948564123,out of the picture,Figurative
idiom,72568935593053807776203526700541422200843545444314317889390801881457384396797,many moons ago,None
simile,65196396675750913881970980627954788131571049925466845575151968153024111530672,as strong as an ox,Figurative
metaphor,83126709458060854598347006469572709210236035509205750600549550459767588810430,light of my life,Figurative
idiom,16198206783173656714001792272508044333310693065208024025945000696861869681003,draw a blank,None
simile,83736847366892605879388861706476615448508042930534089459581973958526162313383,as happy as a kid,Figurative
metaphor,96963950042086711483227717268853616151683644636268919946182374987170591986241,the car is a rocket,Figurative
idiom,96103345262749907430135571731738140650472933783176588135743965220317390760725,bow and scrape,None
metaphor,96439663651267291050859449802191563681230083699978567596237904370044057594438,blanket of snow,Figurative
idiom,88386929115205414915884774810812913620038392870547221685485319878059957868604,run out of steam,None
idiom,14321739027999140214150389853465339296896170946508654553230612174508392921547,on the back burner,None
idiom,36061657647586304539294917580208789222348297620635632861275052279423902234759,all bets are off,None
idiom,11577197874081585195803670768091344573559363148454675234085855721232931573789,come to think of it,None
idiom,11231759809813528741195313793883020888148058093803119722842360501174897037899,hold the ring,Literal
idiom,80739640213479539445431304736193861765161627390696329537377076696542023051323,strike while the iron is hot,None
simile,10847099959125669791271942608723042964951649362704157836770285855327574559879,as sharp as a knife,Partial Literal
idiom,45221806154345579758090851808685664716052859318188006999077511089087358673575,get your skates on,None
idiom,70889746836205285990842656799575347040774966145748755519771580151053183116502,in the long term,Figurative
idiom,115517027612063641134886928932403547486444135818356815324128548838472312669391,run amok,Figurative
simile,79792785212037936454037440205338101022417551158138422908288017567708521146497,as hard as a brick,Figurative
simile,19513632505399560394738961568625885980595255687674339857976009375994619092332,as cold as ice,Partial Literal
idiom,14190722671588449543189829350444306192872754728838692613522499204336946018062,under the wire,None
simile,100836682220634797416467844585706619378937484497974106859176078024166320352988,as thin as a rail,Figurative
idiom,63887425871298951227254194068076187413004343514845409772139676669296345927418,be my guest,None
simile,97997205941985739452179572099881146717703643870288846053987601530106629141042,as thin as a rail,Partial Literal
simile,4816432946330965119930421472677899262326484380871343359882665299042479193362,as filthy as a pigsty,Figurative
idiom,3607676136077273128485844214337918121536476963878180821304810773038374742719,to the bone,None
idiom,35806752645253064138483164825620755646597043187815798273291821848533656342494,catch someone's eye,Figurative+Literal
idiom,63396320857341270096229323307290934987435220390183388780425819460103293319245,with a will,Figurative
simile,79754170847335088742167949941292572487261702297419348852032910520776199990441,as cold as ice,Partial Literal
simile,88708850234072740442258120417387666466550850702017038051672290378522974410194,as hot as lava,Partial Literal
idiom,15585134437114562625675387267968437839146382876179196354405457573929100968081,hit the ceiling,Figurative
simile,10917959098680437564542943046150910060789803255363622152834633204323247225263,as smooth as silk,Partial Literal
idiom,24275627748517104842759712608222117085355906114461952941176764166432998264283,tread water,Figurative+Literal
simile,114368005825077246776659895453746855398403483329464196930116631771123540031149,as strong as an ox,Figurative
idiom,80689587523622818680317846819435528621821684827496308678943856123497930508817,pound the pavement,None
idiom,99735526014383755637846854790001090556293085100808163712990728288962037886636,beard the lion in his den,Partial Literal
simile,18651768441938504231894166675309568029905257676821352935461339248935832314692,as fast as a cheetah,Partial Literal
idiom,69111987795534888478420639342229588034039763161216702109656821447868609858498,behind someone's back,Figurative
idiom,74570546118779244989711280185735902367251191550207773465856698066663413142994,light at the end of the tunnel,None
idiom,109709725922352410647923372044845480526181722933524993647455463920048024279090,the ball is in someone's court,Literal
idiom,26371262721536446261897842563558271558017661155237742023678789860651836728746,throw the book at,Figurative
idiom,3611058799789980817451487466413072411969507976955290305226890209524300018371,go bananas,None
metaphor,16007551376766790462924651314626335052958105935396119937306245916184299396895,heart of stone,Figurative
